,GSE000000
10317,1.3279
10318,12.5753
10319,4.042
1032,11.922
10320,7.5519
10321,1.3279
10322,9.1075
10324,4.3657
10325,7.6021
10326,5.7267
10327,11.3521
10328,12.3563
10329,11.2969
1033,11.0095
10330,15.4377
10331,14.3834
10332,7.64175
10333,1.3279
10335,10.5465
10336,7.6303
10342,12.0782
10343,5.7492
10344,6.2769
10345,1.3279
10346,8.6547
10347,9.4367
10349,5.7712
10350,16.6899
10351,5.4964
10352,9.8429
1036,1.3279
10360,10.483
10361,8.9244
10362,13.0324
10363,9.073
10365,12.8016
10367,7.4707
10368,6.6533
10369,1.3279
10370,8.5969
10371,5.6796
10376,16.8377
10379,11.8168
1038,1.3279
10380,10.2039
10381,10.6328
10382,6.7441
10383,13.5585
10385,8.1801
10388,1.3279
10389,5.1073
1039,10.4247
10390,8.9996
10391,5.6527
103910,15.1345
10392,8.2568
10393,9.6408
10394,5.3707
10395,6.02005
10396,10.8013
10397,15.0041
10398,9.9111
10399,15.9691
104,7.5641
1040,9.8166
10400,10.4292
10401,10.338
10402,6.1682
10403,11.2923
10404,10.028
10406,12.55085
10407,1.3279
10408,9.9158
10409,10.4499
1041,6.1915
10410,16.8957
10411,9.2628
10412,13.0092
10413,11.5448
10417,8.7103
10418,10.1735
10419,10.21155
10420,8.4028
10421,8.509
10422,11.733
10423,9.2237
10424,11.3339
10425,12.19725
10426,9.1266
10427,9.3749
10428,12.006
1043,12.4421
10430,13.7678
10432,9.05015
10434,11.94405
10435,10.4162
10436,11.617
10437,13.4313
10438,10.36865
10439,6.6031
1044,11.35235
10440,13.246
10443,10.8278
10444,12.8608
10445,10.6423
10446,9.1932
10447,9.9189
10449,12.4341
1045,14.0781
10450,9.6576
10451,13.0691
10452,8.38495
10454,4.35285
10455,12.4862
10456,12.9754
10457,6.64895
10458,7.1272
10459,6.3985
1046,2.7904
10460,8.5484
10461,7.40865
10462,8.6931
10463,8.8754
10464,9.85945
10465,6.9596
10466,11.292
10467,14.2652
10468,1.3279
10469,9.8393
1047,3.6824
10471,11.89705
10472,6.2129
10473,11.0793
10474,14.2438
10475,9.7814
10476,14.8303
10477,10.6323
10478,10.7547
10479,10.4522
1048,16.4165
10480,14.3688
10481,12.8044
10482,10.3351
10483,10.34975
10484,11.3136
10485,1.3279
10486,5.1273
10487,11.57015
10488,9.7479
10489,9.7487
10490,14.1955
10491,5.5249
10492,12.62255
10493,9.23285
10494,11.226
10495,9.8164
10497,9.0494
10498,13.2736
10499,5.6329
105,4.8919
1050,12.5555
10500,8.30545
10501,7.72035
10505,6.84725
10507,8.88415
10509,7.72945
1051,12.9638
10512,9.5591
10513,10.2911
10514,9.1808
10516,9.5597
10517,4.569
10518,11.4227
10519,13.3384
1052,14.7386
10520,7.4947
10521,10.8039
10522,8.53785
10523,8.745
10524,9.2017
10525,8.1577
10526,10.6951
10527,10.0335
10528,13.0579
10529,9.3262
1053,9.3489
10531,8.6866
10533,9.1471
10534,11.8952
10535,11.8391
10536,11.8685
10537,11.8628
10538,10.5359
10539,12.9194
1054,13.3206
10540,12.9884
10541,13.5596
10542,14.3158
10544,11.4919
10548,10.6191
10549,5.6437
10550,11.8182
10551,16.5239
10552,13.4392
10553,9.4371
10554,10.9477
10555,16.1526
10556,8.2749
10557,11.32995
10558,10.01185
10559,10.529
1056,7.3158
10560,9.9736
10561,9.1791
10562,16.5808
10563,4.5793
10564,11.2513
10565,8.33415
10566,1.3279
10567,15.3067
10568,4.1317
10569,11.9054
10570,6.7545
10572,13.6565
10573,11.2193
10574,14.3333
10575,15.19485
10576,15.1955
10577,15.0756
10578,4.93455
10579,12.0048
1058,8.5184
10580,6.6476
10581,16.0751
10584,4.9253
10585,11.2127
10586,12.4194
10587,5.686
10588,12.5025
10589,13.5548
1059,9.3954
10590,7.1644
10591,14.659
10592,9.5228
10594,10.919
10595,13.1204
10597,9.4712
10598,11.9147
10599,1.3279
1060,10.193
10600,11.92555
10602,1.3279
10603,9.9691
10605,11.8249
10606,12.4005
10607,8.0622
10608,9.31055
10609,10.7712
10610,8.6055
10611,9.7157
10612,6.68965
10613,7.644
10614,8.7355
10615,11.3714
10616,10.1017
10617,10.1033
10618,13.15335
1062,9.3271
10620,10.8255
10621,8.706
10622,7.13855
10623,11.4361
10625,9.4981
10626,9.738
10627,14.9997
10628,16.454
10629,10.9941
1063,10.7472
10630,9.0681
10631,9.5871
10632,16.789
10633,8.5165
10634,9.3901
10635,8.9163
10636,8.474
10637,16.5191
10638,10.2238
10640,8.8128
10641,10.5465
10642,10.6624
10643,8.3248
10644,8.03945
10645,8.8823
10647,3.5425
10648,1.3279
10650,8.9638
10651,11.8042
10652,10.8627
10653,16.2802
10654,11.3587
10655,3.98695
10656,9.81415
10657,13.8834
10658,9.9864
10659,10.17535
1066,10.033
10660,16.6745
10661,8.9964
10663,8.6795
10664,9.5818
10665,2.94625
10666,4.6088
10667,9.1561
10668,8.1519
10669,6.86925
10670,13.4137
10671,11.861
10672,10.20485
10673,8.4729
10675,1.3279
10677,8.8844
10678,8.8978
1068,4.0922
